n,wr,total_pips,pf,avg,tf,pair,strat,spread,bars
50,12.0,-602.4721578638514,0.28877313298633844,-12.049443157277029,M30,GBPUSD,dual_ma_adx,10,5000
346,11.849710982658959,-2962.12188683588,0.2667018913602457,-8.561045915710636,M30,EURUSD,williams_r,9,5000
352,11.647727272727272,-2996.0083292303048,0.2763492246563617,-8.51138729894973,M30,AUDUSD,psar,9,5000
336,11.607142857142858,-3948.8231458309333,0.24878934655396834,-11.752449838782539,M30,GBPUSD,psar,10,5000
114,11.403508771929824,-1400.5736078003442,0.2317158440181884,-12.285733401757405,M30,GBPUSD,adx_di,10,5000
9,11.11111111111111,-947.7329807115775,0.17074673732248963,-105.30366452350862,D1,GBPUSD,bb_squeeze,8,2284
375,10.666666666666668,-3395.349694576569,0.23373302899462456,-9.054265852204184,M30,AUDUSD,cci_trend,9,5000
296,10.472972972972974,-2700.4254586742077,0.2423555637770264,-9.123058982007459,M30,EURUSD,vol_breakout,9,5000
644,10.248447204968944,-5688.025437561667,0.23766338812625,-8.832337635965322,M30,AUDUSD,hull_ma,9,5000
382,9.947643979057592,-3424.057301866632,0.23653641915383297,-8.963500790226785,M30,EURUSD,cci_trend,9,5000
339,9.734513274336283,-4273.371465725461,0.23701378812551305,-12.605815533113455,M30,USDJPY,psar,13,5000
682,9.67741935483871,-6120.010124721878,0.21195860640194777,-8.973621883756419,M30,AUDUSD,3ema_stack,9,5000
137,9.48905109489051,-1326.1961250224215,0.18870339820919857,-9.680263686295048,M30,AUDUSD,breakout_retest,9,5000
632,9.335443037974683,-7637.610555957664,0.2429672253163036,-12.084826829046936,M30,USDJPY,hull_ma,13,5000
43,9.30232558139535,-453.57924556068247,0.16135968568045497,-10.548354547922848,M30,AUDUSD,dual_ma_adx,9,5000
392,9.183673469387756,-4841.695104280471,0.24075306302207006,-12.351263021123652,M30,USDJPY,cci_trend,13,5000
579,9.153713298791018,-5654.425735709941,0.20492308848906493,-9.76584755735741,M30,EURUSD,hull_ma,9,5000
288,9.027777777777777,-3775.1978714800566,0.22950661609242137,-13.108325942639086,M30,USDJPY,vol_breakout,13,5000
102,8.823529411764707,-1434.057316944586,0.20675251517164003,-14.05938546024104,M30,USDJPY,adx_di,13,5000
296,8.783783783783784,-3019.39174140887,0.18169626460239202,-10.200647775029967,M30,AUDUSD,vol_breakout,9,5000
655,8.702290076335878,-5931.2350013871255,0.20606072539559775,-9.055320612804772,M30,EURUSD,3ema_stack,9,5000
346,8.38150289017341,-3421.3122760759225,0.18846237435946106,-9.888185769005556,M30,EURUSD,psar,9,5000
359,8.356545961002785,-5012.345052754723,0.18912691294796366,-13.961963935249925,M30,USDJPY,williams_r,13,5000
36,8.333333333333332,-285.8329356905264,0.23142450725209399,-7.93980376918129,M15,GBPUSD,dual_ma_adx,10,5000
37,8.108108108108109,-467.2149943989041,0.21668287502981315,-12.627432281051462,M30,USDJPY,bb_squeeze,13,5000
88,7.954545454545454,-686.3985947028771,0.15614412325772772,-7.799984030714512,M15,AUDUSD,ichimoku,9,5000
739,7.848443843031124,-8628.065630406314,0.2332690318097758,-11.675325616246704,M30,USDJPY,3ema_stack,13,5000
91,7.6923076923076925,-1107.874431131016,0.1498517869762897,-12.174444298143033,M30,USDCHF,ichimoku,12,5000
131,7.633587786259542,-1373.0275847221128,0.16569374556474623,-10.481126600932159,M30,EURUSD,adx_di,9,5000
131,7.633587786259542,-1452.066947174154,0.15001182039620214,-11.084480512779802,M30,AUDUSD,adx_di,9,5000
119,6.722689075630252,-1277.480098489562,0.15404534077148938,-10.735126878063545,M15,USDJPY,ichimoku,13,5000
46,6.521739130434782,-827.7013120545433,0.13339147066155935,-17.99350678379442,M30,USDJPY,dual_ma_adx,13,5000
185,6.486486486486487,-1588.9421792663018,0.1426299482846533,-8.588876644682712,M15,GBPUSD,breakout_retest,10,5000
139,6.474820143884892,-2138.1599448980737,0.1422323327103427,-15.382445646748732,M30,USDJPY,breakout_retest,13,5000
328,6.097560975609756,-2736.1501133338384,0.15143754076541313,-8.341921077237313,M15,GBPUSD,vol_breakout,10,5000
51,5.88235294117647,-483.6403130501168,0.13238429160976836,-9.483143393139544,M15,USDJPY,dual_ma_adx,13,5000
106,5.660377358490567,-1285.4102751770702,0.08878020837201062,-12.12651202997236,M15,GBPUSD,ichimoku,10,5000
125,5.6000000000000005,-1181.469197358691,0.12292111539610868,-9.451753578869528,M15,GBPUSD,adx_di,10,5000
55,5.454545454545454,-495.2254898710784,0.15869218793925452,-9.00409981583779,M30,EURUSD,bb_squeeze,9,5000
408,5.147058823529411,-3644.141329875005,0.11000548981159322,-8.93171894577207,M15,GBPUSD,cci_trend,10,5000
