n,wr,total_pips,pf,avg,tf,pair,strat,params,spread,bars
13,38.46153846153847,-5618.381212223085,0.8196738692297055,-432.1831701710065,M30,XAUUSD,supertrend,"(20, 3.0, 21, 2.0, 3.5)",28,5000
73,38.35616438356164,228.88679512887524,1.0330994567534215,3.1354355497106194,D1,GBPUSD,keltner,"(20, 1.5, 14, 1.5, 2.5)",8,2284
29,37.93103448275862,7387.098199571301,1.1270187066605264,254.7275241231483,M30,XAUUSD,ema_macd,"(5, 13, 100, 21, 2.0, 3.5)",28,5000
29,37.93103448275862,319.1667790199593,1.2208540938265497,11.005751000688251,D1,EURUSD,ema_macd,"(5, 13, 50, 14, 1.0, 2.0)",0,3730
87,37.93103448275862,-313.13385014800156,0.942742147331989,-3.599239656873581,D1,AUDUSD,rsi,"(21, 65, 35, 14, 1.5, 2.5)",9,2284
69,37.68115942028986,879.295513195666,1.0120396108978402,12.743413234719798,M30,XAUUSD,ema_macd,"(3, 8, 50, 14, 1.0, 1.8)",28,5000
16,37.5,17.066525877387193,1.013845636562778,1.0666578673366995,D1,AUDUSD,ema_macd,"(5, 13, 100, 21, 2.0, 3.5)",9,2284
48,37.5,-15513.972830488721,0.8036339681959466,-323.2077673018484,M30,XAUUSD,ema_macd,"(3, 10, 50, 14, 1.5, 2.5)",28,5000
43,37.2093023255814,285.8430435108915,1.074734215566315,6.647512639788174,D1,GBPUSD,rsi,"(14, 80, 20, 14, 1.5, 2.5)",8,2284
156,37.17948717948718,1710.9233164422262,1.2163407104070294,10.967457156680938,D1,EURUSD,keltner,"(20, 1.0, 14, 1.0, 2.0)",0,3730
35,37.142857142857146,-266.0156992474871,0.8743457882019086,-7.600448549928203,D1,AUDUSD,ema_macd,"(5, 13, 30, 14, 1.5, 2.0)",9,2284
27,37.03703703703704,127.20289047209113,1.0645197986787007,4.711218165633005,D1,EURUSD,ema_macd,"(5, 13, 50, 10, 1.5, 2.5)",0,3730
54,37.03703703703704,-68.62974723263477,0.9790891055111279,-1.2709212450487921,D1,AUDUSD,keltner,"(14, 1.5, 14, 1.5, 2.5)",9,2284
19,36.84210526315789,13.619569650720194,1.0128112431988383,0.7168194553010628,D1,AUDUSD,ema_macd,"(5, 13, 50, 10, 1.5, 2.5)",9,2284
19,36.84210526315789,-1.4038682337514388,0.9986835597320367,-0.07388780177639151,D1,AUDUSD,ema_macd,"(5, 13, 50, 14, 1.5, 2.5)",9,2284
218,36.69724770642202,13544.691165278971,1.0344928714240158,62.13161084990354,M30,XAUUSD,rsi,"(7, 75, 25, 14, 1.5, 2.5)",28,5000
60,36.666666666666664,-208.61227736409015,0.9646422102962475,-3.4768712894015024,D1,EURUSD,keltner,"(20, 2.0, 14, 2.0, 3.0)",0,3730
90,36.666666666666664,-1478.5897999909175,0.9915657789669324,-16.42877555545464,M30,XAUUSD,rsi,"(14, 80, 20, 14, 1.5, 2.5)",28,5000
96,36.45833333333333,987.411164675012,1.1586194042358413,10.285532965364707,D1,GBPUSD,keltner,"(20, 1.0, 14, 1.0, 2.0)",8,2284
195,36.41025641025641,-41622.212386651256,0.887687617672029,-213.44724300846798,M30,XAUUSD,donchian,"(20, 14, 1.5, 2.5)",28,5000
